,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,007:007-008,Spring Bracket Assembly,Tax,,45
,Non-inventory Part,007:007-009,Spring End with Saddle,Tax,,25
,Non-inventory Part,007:007-010,Spring End with Nut,Tax,,25
,Non-inventory Part,007:007-011,Spring Bolts,Tax,,20
,Non-inventory Part,007:007-012,Spring Bolt Long,Tax,,40
,Non-inventory Part,007:007-013,Jamb Track Set,Tax,,160
,Non-inventory Part,007:007-014,"3"" Spring",Tax,,275
,Non-inventory Part,007:007-015,"4"" Spring",Tax,,300
,Non-inventory Part,007:007-016,Complete Set of Overhead Hardware RL all-o-matic  with 3-inches springs,Tax,,950
,Non-inventory Part,007:007-017,Complete All-o-matic set of jumbo hardware with 4-inch springs,Tax,,1200
,Non-inventory Part,007:007-018,728C Spring,Tax,,60
,Non-inventory Part,007:007-019,P538 #3 Spring,Tax,,65
,Non-inventory Part,007:007-020,Thrust Rod With Brackets,Tax,,90
,Non-inventory Part,007:007-021,E-900 Garage Hardware Complete Set,Tax,,380
,Non-inventory Part,007:007-022,"Custom J/T Hardware (2 - 5"" Springs & 2 Arm  Assemblies)",Tax,,1700
,Non-inventory Part,007:007-023,Manual Release Assembly,Tax,,195
,Non-inventory Part,007:007-024,Emergency Key Release Assembly,Tax,,60
,Non-inventory Part,007:007-025,Power Arm,Tax,,100
,Non-inventory Part,007:007-026,"5"" Spring",Tax,,650
,Non-inventory Part,007:007-030,Super Jumbo Overhead Hardware with 5-inch springs,Tax,,2050
,Non-inventory Part,007:007-031,Operator Bracket,Tax,,45
,Non-inventory Part,007:007-032,Weather Strip,Tax,,60
,Non-inventory Part,007:007-033,"1/2"" Pins",Tax,,10
,Non-inventory Part,007:007-034,P728C Garage Door Spring,Tax,,60
,Non-inventory Part,007:007-225R,Torsion spring,Tax,,160
,Non-inventory Part,007:007-C128,C128 Garage Door Spring,Tax,,95
,Non-inventory Part,007-035,Complete set of jumbo Overhead hardware with 5-inch springs.,Tax,,2100
,Non-inventory Part,8,ELECTRICAL PARTS,Tax,,0
,Non-inventory Part,008:008-001,Special Order Electrical Breaker,Tax,,45
,Non-inventory Part,008:008-002,20 Amp Breaker,Tax,,35
,Non-inventory Part,008:008-003,15 Amp Electrical Breaker,Tax,,30
,Non-inventory Part,008:008-004,Four Hole Outdoor Box,Tax,,16
,Non-inventory Part,008:008-005,Phone Jack S/M,Tax,,4
,Non-inventory Part,008:008-006,Wall Phone Jack,Tax,,6.5
,Non-inventory Part,008:008-007,1/2 Electrical Metal Tubing ( EMT),Tax,,5
,Non-inventory Part,008:008-008,PVC Electrical Pipe,Tax,,4.5
,Non-inventory Part,008:008-009,1/2 Seal Tie Flex,Tax,,6
,Non-inventory Part,008:008-010,1/2 Indoor Flex,Tax,,3.5
,Non-inventory Part,008:008-011,1/2 EMT Clips,Tax,,1
,Non-inventory Part,008:008-012,3/4 EMT Clip,Tax,,1.5
,Non-inventory Part,008:008-013,1/2 EMT Connectors,Tax,,1
,Non-inventory Part,008:008-014,1/2 EMT Coupler Connector Indoor,Tax,,1.5
,Non-inventory Part,008:008-015,1/2 EMT to Flex Connector,Tax,,1
,Non-inventory Part,008:008-016,1/2 Emt Compression Connector,Tax,,1.5
,Non-inventory Part,008:008-017,1/2 Compression Coupler,Tax,,1.75
,Non-inventory Part,008:008-018,Straight Seal Tie Connector,Tax,,4.5
